OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,ReportingPeriodType,Period,GeoEntityName,GeoCode,GeoName,GeoURI,HholdWasteCollectedPerPersonKg,HholdWasteRecycledPercentage
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2014-04-01T00:00:00,2015-03-31T23:59:59,,Financial Year,2014-2015,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,381,40.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2014-04-01T00:00:00,2015-03-31T23:59:59,,Financial Year,2014-2015,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,410.2,47.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2014-04-01T00:00:00,2015-03-31T23:59:59,,Financial Year,2014-2015,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,338.1,30.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2014-04-01T00:00:00,2015-03-31T23:59:59,,Financial Year,2014-2015,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,389.9,47.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2014-04-01T00:00:00,2015-03-31T23:59:59,,Financial Year,2014-2015,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,440.9,54.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2013-04-01T00:00:00,2014-03-31T23:59:59,,Financial Year,2013-2014,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,464.7,49.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2013-04-01T00:00:00,2014-03-31T23:59:59,,Financial Year,2013-2014,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,395.6,40.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2013-04-01T00:00:00,2014-03-31T23:59:59,,Financial Year,2013-2014,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,410.8,49.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2013-04-01T00:00:00,2014-03-31T23:59:59,,Financial Year,2013-2014,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,393.7,42.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2013-04-01T00:00:00,2014-03-31T23:59:59,,Financial Year,2013-2014,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,402.1,47
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2013-04-01T00:00:00,2014-03-31T23:59:59,,Financial Year,2013-2014,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,325.7,29.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2013-04-01T00:00:00,2014-03-31T23:59:59,,Financial Year,2013-2014,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,391.7,47.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2013-04-01T00:00:00,2014-03-31T23:59:59,,Financial Year,2013-2014,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,415.5,53.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2012-04-01T00:00:00,2013-03-31T23:59:59,,Financial Year,2012-2013,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,467,51
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2012-04-01T00:00:00,2013-03-31T23:59:59,,Financial Year,2012-2013,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,431.8,36
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2012-04-01T00:00:00,2013-03-31T23:59:59,,Financial Year,2012-2013,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,389.2,54
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2012-04-01T00:00:00,2013-03-31T23:59:59,,Financial Year,2012-2013,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,327.1,44
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2012-04-01T00:00:00,2013-03-31T23:59:59,,Financial Year,2012-2013,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,426.1,51
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-12-06T00:00:00,2012-04-01T00:00:00,2013-03-31T23:59:59,,Financial Year,2012-2013,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,402.8,30
